batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
1,Assess and monitor export controls for effectiveness,Center for Security and Emerging Technology,Think Tank,9.45,10.0,9.5,9.5,8.5,"Highly aligned with IAPS priorities on export controls and evidence-based policy. Calls for scenario planning, monitoring, and post-implementation assessment—concrete, actionable, and grounded in real-world constraints. Directly addresses national security and compute governance.",1477
2,Empower U.S. AI Safety Institute for evaluation science,Center for Security and Emerging Technology,Think Tank,8.825,9.5,9.0,8.5,8.0,"Directly advances IAPS focus on AI safety institutes and evaluation science. Proposes specific benchmarks and government-industry collaboration, with clear implementation path and recent precedent.",1669
3,Implement Risk-Based AI Export Controls,Information Technology Industry Council,Industry Association,8.424999999999999,9.0,8.5,8.0,8.0,"Concrete, risk-based export control proposal, highly relevant to IAPS compute governance and national security. Specific focus on model weights and compute power, with awareness of international competitiveness.",1204
4,Track technology transfers to China,Center for Security and Emerging Technology,Think Tank,8.325,9.0,8.5,8.0,7.5,"Directly targets tech transfer to China, a core IAPS concern. Proposes a new office/task force with practical recommendations—actionable and fills a real gap.",1989
5,Establish industry-specific AI incident reporting,Center for Security and Emerging Technology,Think Tank,8.275,8.5,8.5,8.0,8.0,"Concrete, sector-specific incident reporting for AI, with clear agency roles and investigative authority. Strong alignment with IAPS focus on governance mechanisms and risk management.",1502
6,Deploy appropriate model safeguards for biosecurity,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.0,8.0,7.5,"Proposes a suite of model safeguards for biosecurity, referencing CSET research and specific mechanisms. Actionable and directly addresses dual-use AI risk.",1636
7,Identify Critical AI Technologies for Export Control,"Advanced Robotics for Manufacturing
  Institute",Think Tank,7.925,8.5,8.0,7.5,7.5,"Directly addresses export controls and national security, with a concrete call to identify critical AI technologies. Implementation path is clear and highly relevant.",2005
8,Establish whistleblower protections for AI company employees,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Whistleblower protections for AI company employees is actionable, addresses real gaps in governance, and supports accountability in high-risk AI development.",1602
9,Empower OSD to set AI security standards for military,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Empowering OSD to set AI security standards is a concrete, actionable step to reduce duplication and improve security. Directly relevant to IAPS's focus on national security AI governance.",1269
10,Implement Strategic Export Control Measures for AI,"CGI Federal, Inc.",Industry (Other),7.65,8.0,8.0,7.0,7.5,"Robust export licensing system for AI tech is highly aligned with IAPS's export control priorities. Proposes monitoring and enforcement mechanisms, though details could be stronger.",1905
11,Build an integrated biosecurity ecosystem,Center for Security and Emerging Technology,Think Tank,7.65,8.0,7.5,7.5,7.5,Integrating AI into biosecurity ecosystem is evidence-based and recognizes real-world limitations of AI-only controls. Actionable and fills a governance gap.,1526
12,Expand open-source intelligence gathering on AI,Center for Security and Emerging Technology,Think Tank,7.550000000000001,8.0,7.5,7.5,7.0,"Expanding OSINT on AI is a concrete, underdeveloped area in government. Actionable, fills a real intelligence gap, and supports IAPS's evidence-based approach.",1639
13,National AI Security Framework,Alvarez & Marshall Federal LLC,Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"Comprehensive AI security framework for critical infrastructure is highly aligned with IAPS priorities. Concrete phased implementation, though some elements may face political resistance.",1755
14,Define Global AI Safety Standards,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Defines US-led global AI safety standards, leveraging existing initiatives (AISIC, INASI). Actionable, aligns with IAPS's international governance focus.",1465
15,Incentivize multiple approaches to frontier AI research,Center for Security and Emerging Technology,Think Tank,7.15,7.5,7.0,7.0,7.0,"Incentivizing alternative approaches to frontier AI research is specific, evidence-based, and addresses US-China competition. Implementation path is plausible.",1355
16,Federal AI Center of Excellence for State and Local Governments,Federation of American Scientists,Think Tank,7.15,7.5,7.0,7.0,7.0,"Federal AI Center of Excellence for SLTT governments is actionable, addresses a real gap in AI governance capacity, and is politically feasible.",1070
17,National AI Testbed Network,Alvarez & Marshall Federal LLC,Industry (Other),7.05,7.5,7.0,7.0,6.5,"National AI Testbed Network is concrete, with sector-specific sandboxes and regulatory safe harbors. Implementation is ambitious but plausible.",1162
18,Support existing DOE programs that are training the national AI workforce,Bipartisan Policy Center,Think Tank,7.0,7.0,7.0,7.0,7.0,"Supports existing DOE AI workforce programs—concrete, evidence-based, and politically viable. Directly advances national competitiveness.",1634
19,AI-Ready Collaborative Datasets for Life Sciences,Federation of American Scientists,Think Tank,6.8999999999999995,7.0,7.0,7.0,6.5,"Government-funded collaborative datasets for life sciences is actionable, addresses a real bottleneck, and could be extended to other sectors.",1842
20,National Security AI Entrepreneur Visa,Federation of American Scientists,Think Tank,6.7749999999999995,7.0,7.0,6.5,6.5,"National Security AI Entrepreneur Visa is specific, actionable, and addresses a real talent gap in dual-use AI. Political feasibility is moderate.",1751
21,Establish a National AI Governance Body,"CGI Federal, Inc.",Industry (Other),6.6499999999999995,7.0,6.5,6.5,6.5,"National AI governance body is aligned with IAPS's governance focus. Somewhat vague on operational details, but the core is actionable.",1593
22,Reform AI Procurement to Include Smaller Vendors,INCOMPAS,Industry Association,6.6499999999999995,7.0,6.5,6.5,6.5,Procurement reform for smaller AI vendors is actionable and addresses a real market failure. Implementation is plausible.,1924
23,Centralize DOE AI strategy and execution,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Centralizing DOE AI strategy is actionable, avoids duplication, and is politically feasible. Directly relevant to national security and governance.",1603
24,Advance AI chip technology and data center efficiency,Bipartisan Policy Center,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"Directs DOE to advance AI chip and data center efficiency. Actionable, relevant to compute governance and infrastructure.",1860
25,Promote AI-enhanced scientific progress with focus on AIxBio,Center for Security and Emerging Technology,Think Tank,6.6499999999999995,7.0,6.5,6.5,6.5,"AIxBio proposal is specific, actionable, and addresses a real competitive battleground. Implementation path is plausible.",1631
26,Secure AI Supply Chain,Wahba Institute for Strategic Competition,Think Tank,6.55,7.0,6.5,6.5,6.0,"Securing AI supply chain is highly relevant, though details are somewhat generic. Actionable and aligned with national security.",1795
27,National AI Research Infrastructure,Alvarez & Marshall Federal LLC,Industry (Other),6.55,7.0,6.5,6.5,6.0,"National AI Research Infrastructure with compute consortium is actionable, addresses a real bottleneck, and is aligned with IAPS compute governance.",1114
28,Increase AI R&D spending,Microsoft,Frontier Developer,6.3999999999999995,7.0,6.0,6.0,6.5,"Increase AI R&D spending is specific, actionable, and politically viable, though lacks detailed implementation mechanisms.",1788
29,Reform Immigration Policies for AI Talent,INCOMPAS,Industry Association,6.25,6.5,6.0,6.0,6.5,"Targeted immigration reform for AI talent is actionable and addresses a real gap, though implementation details are limited.",1957
30,Incentivize utility and data center expansion,Bipartisan Policy Center,Think Tank,6.25,6.5,6.0,6.0,6.5,"Incentivizing utility and data center expansion is actionable, addresses infrastructure needs, and is politically plausible.",1835
31,Energy Infrastructure Preparation for AI Growth,Federation of American Scientists,Think Tank,6.25,6.5,6.0,6.0,6.5,"Standardized framework for measuring AI energy demand is actionable, addresses a real gap, and is politically feasible.",1092
32,Lead Open Standards in AI Infrastructure,HPE,Industry (Other),6.15,6.5,6.0,6.0,6.0,"Leading open standards in AI infrastructure is relevant to international governance and technical standards, though somewhat generic.",1851
33,Adopt NIST AI RMF Across Federal Agencies,Information Technology Industry Council,Industry Association,6.15,6.5,6.0,6.0,6.0,"Adopting NIST AI RMF across federal agencies is actionable and relevant, though primarily industry-driven and not novel.",1469
34,Promote Open Standards to Reduce Lock-in,HPE,Industry (Other),6.0,6.0,6.0,6.0,6.0,"Promoting open standards to reduce lock-in is actionable and relevant, though lacks detail on enforcement and implementation.",1395
35,Enhance resilience of AI supply chain,Microsoft,Frontier Developer,6.0,6.0,6.0,6.0,6.0,"Enhancing AI supply chain resilience is relevant to IAPS priorities, though details are generic and implementation path is broad.",1570
36,AI Infrastructure Investments and Regulatory Reforms,OpenAI,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"AI infrastructure investment strategy is relevant and actionable, but proposal is broad and somewhat self-serving.",1311
37,Champion market-driven technical standards internationally,Google,Frontier Developer,5.875,6.0,6.0,5.5,6.0,"Championing market-driven technical standards is relevant, but proposal is industry-centric and lacks enforcement mechanisms.",1360
38,Strategic AI Research Program,Alvarez & Marshall Federal LLC,Industry (Other),5.875,6.0,6.0,5.5,6.0,"Strategic AI research program is actionable and relevant, but scale and implementation details are ambitious and somewhat vague.",1304
39,Provide Access to High-Performance Compute Power,Wahba Institute for Strategic Competition,Think Tank,5.75,6.0,5.5,5.5,6.0,"Access to high-performance compute power is relevant, but proposal is broad and lacks specific implementation mechanisms.",1621
40,Strengthen AI workforce development through apprenticeships,Center for Security and Emerging Technology,Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"AI workforce apprenticeships are actionable and politically viable, but not directly aligned with IAPS's strategic priorities.",1106
41,Long-Term AI Research Funding,Alvarez & Marshall Federal LLC,Industry (Other),5.6000000000000005,5.5,5.5,5.5,6.0,"Long-term AI research funding is actionable, but the 'Manhattan Project for AGI' is speculative and lacks implementation realism.",1260
42,Develop Manufacturing Process AI Situational Awareness,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.6000000000000005,5.5,5.5,5.5,6.0,"AI situational awareness for manufacturing is actionable and relevant, but sector-specific and not a core IAPS focus.",1934
43,Incentivize Public-Private Partnerships for AI Development,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.3500000000000005,5.5,5.0,5.0,6.0,Public-private partnerships for AI development are actionable but generic and lack specificity.,1382
44,Enhance Small Business AI Support,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,Small business AI support is actionable but generic and not directly aligned with IAPS's strategic priorities.,1467
45,Automate Spectrum Licensing with AI,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,Automating spectrum licensing with AI is actionable but sector-specific and not a core IAPS concern.,1984
46,Reform AI Procurement to Include Smaller Vendors,INCOMPAS,Industry Association,5.3500000000000005,5.5,5.0,5.0,6.0,AI procurement reform for smaller vendors is actionable but largely a market access issue.,1924
47,Address AI Impact on Children,Wahba Institute for Strategic Competition,Think Tank,5.2,5.0,5.0,5.0,6.0,AI impact on children is a real concern but proposal is vague and lacks enforcement or implementation details.,1161
48,Support ongoing AI education campaigns for schools,Microsoft,Frontier Developer,5.2,5.0,5.0,5.0,6.0,Ongoing AI education campaigns are actionable but not directly aligned with IAPS's strategic focus.,1888
49,Support Large-Scale AI Pilot Projects,"CGI Federal, Inc.",Industry (Other),5.2,5.0,5.0,5.0,6.0,Funding large-scale AI pilot projects is actionable but lacks detail and is not a core IAPS priority.,1951
50,Expand RoboticsCareer.org,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.2,5.0,5.0,5.0,6.0,Expanding RoboticsCareer.org is actionable but sector-specific and not a core IAPS concern.,1473
51,Mitigate AI's Impact on Employment,Wahba Institute for Strategic Competition,Think Tank,5.2,5.0,5.0,5.0,6.0,AI workforce training and job transition is actionable but generic and not directly aligned with IAPS priorities.,1916
52,Create Lifelong Learning and Upskilling Tax Incentives,"Advanced Robotics for Manufacturing
  Institute",Think Tank,5.05,4.5,5.0,5.0,6.0,Tax incentives for upskilling are actionable but generic and not a core IAPS focus.,1590
53,Enforce robust data safeguards in the AI lifecycle,Bipartisan Policy Center,Think Tank,5.05,4.5,5.0,5.0,6.0,Data safeguards in AI lifecycle are important but proposal is vague and lacks implementation specifics.,1982
54,Invest in AI for Economic Competitiveness,Wahba Institute for Strategic Competition,Think Tank,4.8,4.5,4.5,4.5,6.0,Investing in AI for economic competitiveness is broad and lacks actionable mechanisms.,1080
55,Modernize the Electrical Grid,INCOMPAS,Industry Association,4.8,4.5,4.5,4.5,6.0,Grid modernization is important but proposal is generic and lacks actionable detail.,1766
56,Support Innovations in AI Infrastructure Costs,HPE,Industry (Other),4.8,4.5,4.5,4.5,6.0,Supporting innovations to decrease AI infrastructure costs is vague and lacks specifics.,1752
57,Develop AI Technology Roadmap for Manufacturing,"Advanced Robotics for Manufacturing
  Institute",Think Tank,4.8,4.5,4.5,4.5,6.0,AI roadmap for manufacturing is sector-specific and not a core IAPS concern.,1356
58,Address AI's Impact on Mental and Social Health,Wahba Institute for Strategic Competition,Think Tank,4.4,4.0,4.0,4.0,6.0,AI's impact on mental health is a real issue but proposal is vague and lacks implementation details.,1445
59,Ensure AI Fairness & Prevent Discrimination,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,"Industry-led initiatives for AI fairness are vague, self-serving, and lack enforcement.",1083
60,Combat AI-Powered Disinformation While Preserving Free Speech,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,Voluntary content labeling for disinformation is vague and lacks enforcement.,1844
61,Strengthen AI Transparent Government Use,Wahba Institute for Strategic Competition,Think Tank,4.0,3.5,3.5,3.5,6.0,Transparent government AI use is a vague aspiration with no concrete mechanisms.,1433
62,Establish Guidelines for the Use of AI in Military Contexts,"CGI Federal, Inc.",Industry (Other),4.0,3.5,3.5,3.5,6.0,Guidelines for military AI use are important but proposal is vague and lacks enforcement.,1734
63,Develop Coordinated Technology Development Strategy,INCOMPAS,Industry Association,4.0,3.5,3.5,3.5,6.0,Coordinated technology development strategy is vague and lacks actionable mechanisms.,1462
64,Use AI to Reduce Regulatory Barriers for Small ISPs,INCOMPAS,Industry Association,3.6,3.0,3.0,3.0,6.0,AI to reduce regulatory barriers for small ISPs is sector-specific and not a core IAPS concern.,1118
65,Support AI Entrepreneurs and Startups,INCOMPAS,Industry Association,3.6,3.0,3.0,3.0,6.0,Support for AI entrepreneurs is vague and lacks actionable mechanisms.,1239
66,Enhance Public-Private Collaboration for Defense AI,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,Enhancing public-private collaboration for defense AI is a vague aspiration.,1129
67,Develop Services for Platform Verification,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,Platform verification services are industry-centric and lack policy mechanisms.,1146
68,Implement AI Operations for IT Automation,HPE,Industry (Other),3.6,3.0,3.0,3.0,6.0,"AI operations for IT automation is an industry solution, not a policy proposal.",1960
69,Support Innovations in AI Infrastructure Costs,HPE,Industry (Other),3.2,2.5,2.5,2.5,6.0,"Vague, self-serving industry proposal with no policy substance.",1752
70,Remove restrictions and paywalls on scientific research,Microsoft,Frontier Developer,3.2,2.5,2.5,2.5,6.0,Removing paywalls on scientific research is idealistic and lacks implementation realism.,1961
71,Invest in Digital Twin Technology,HPE,Industry (Other),3.2,2.5,2.5,2.5,6.0,"Digital twin technology investment is an industry pitch, not a policy proposal.",1782
72,Create AI Innovation Hubs Across the Country,"CGI Federal, Inc.",Industry (Other),3.2,2.5,2.5,2.5,6.0,"AI innovation hubs are a vague, generic economic development proposal.",1758
73,Leverage AI for National Security Superiority,Wahba Institute for Strategic Competition,Think Tank,2.8000000000000003,2.0,2.0,2.0,6.0,Leverage AI for national security superiority is a wish list with no concrete mechanisms.,1757
74,Enhance Federal Coordination and Investment,HPE,Industry (Other),2.8000000000000003,2.0,2.0,2.0,6.0,Federal coordination and investment is a vague aspiration with no concrete policy content.,1682
75,Update incentives for data sharing from federally funded research,Microsoft,Frontier Developer,2.4000000000000004,1.5,1.5,1.5,6.0,"Updating incentives for data sharing is a generic, academic proposal with little policy substance or implementation realism.",1615
