overall_rank,batch_rank,title,organization,org_type,composite_score,iaps_alignment,policy_specificity,evidence_base,political_viability,reasoning,row_index
1,1,Assess and monitor export controls for effectiveness,Center for Security and Emerging Technology,Think Tank,9.45,10.0,9.5,9.5,8.5,"Highly aligned with IAPS priorities on export controls and evidence-based policy. Calls for scenario planning, monitoring, and post-implementation assessment—concrete, actionable, and grounded in real-world constraints. Directly addresses national security and compute governance.",1477
2,1,Implement AI incident reporting for federal agencies,Center for Security and Emerging Technology,Think Tank,9.325,10.0,9.5,9.0,8.5,"Mandates incident reporting for federal AI, directly advancing IAPS priorities on AI governance, safety, and national security. Specifies agency obligations, timelines, and enforcement. Supported by precedent in cybersecurity and aviation. Politically feasible within federal authority.",3002
3,1,Strengthen export controls on AI hardware and model weights,Anthropic,Frontier Developer,9.325,10.0,9.5,9.0,8.5,"Directly addresses IAPS's core focus on compute governance and export controls. Concrete, actionable recommendations for strengthening export controls on AI hardware and model weights, with clear evidence of efficacy and real-world precedent. Politically viable within current national security frameworks.",4278
4,1,Build federal capacity to test and evaluate AI models for national security,Anthropic,Frontier Developer,9.075,10.0,9.0,8.5,8.5,"Directly addresses IAPS priorities (national security, model evaluation, risk mitigation). Proposes concrete infrastructure for rapid AI model assessment, with clear implementation path and measurable objectives. Evidence-based, anticipates rapid model advances, and is politically viable within existing agency authorities.",2645
5,2,Establish AI development reporting programs,Center for Security and Emerging Technology,Think Tank,8.975,10.0,9.0,8.5,8.0,"Concrete, actionable reporting regime for AI development, closing information gaps between government and developers. Directly aligns with IAPS focus on compute governance and risk monitoring. Realistic, modeled on existing reporting programs.",2932
6,2,Empower U.S. AI Safety Institute for evaluation science,Center for Security and Emerging Technology,Think Tank,8.825,9.5,9.0,8.5,8.0,"Directly advances IAPS focus on AI safety institutes and evaluation science. Proposes specific benchmarks and government-industry collaboration, with clear implementation path and recent precedent.",1669
7,3,Facilitate cross-government expertise on AI evaluation,Center for Security and Emerging Technology,Think Tank,8.825,9.5,9.0,8.5,8.0,"Facilitates cross-government expertise on AI evaluation, leveraging existing agency strengths (NSA, DOE). Highly actionable, addresses real gaps in AI risk evaluation. Strong IAPS alignment with national security and governance.",3342
8,2,Early Warning System for AI-Powered Threats,Federation of American Scientists,Think Tank,8.825,9.5,9.0,8.5,8.0,"Establishing an early warning system for dual-use AI threats is highly aligned with IAPS's focus on national security and AI risk governance. Proposal is specific, references policy precedents, and is actionable within existing agency structures.",4006
9,2,AI Model Integrity Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.7,9.5,9.0,8.0,8.0,"Highly aligned with IAPS focus on AI model security and standards. Proposes actionable steps (model registry, cryptographic verification, NIST leadership). Evidence-based, references real security risks. Implementation is feasible via NIST and regulatory agencies.",2077
10,3,Improve security of U.S. frontier AI laboratories,Anthropic,Frontier Developer,8.7,9.5,9.0,8.0,8.0,"Addresses a real and underappreciated threat: theft of frontier AI models undermining export controls. Specific recommendations for physical and cyber security at AI labs, with clear implementation path and strong alignment to IAPS priorities.",4739
11,4,Voluntary AI Incident Reporting Hub,Federation of American Scientists,Think Tank,8.549999999999999,9.0,8.5,8.5,8.0,"Voluntary AI incident reporting hub modeled on successful systems (FAA, FDA). Specific, actionable, and addresses AI risk monitoring. Strong evidence base and feasible under NIST or similar agencies.",2985
12,3,Implement Risk-Based AI Export Controls,Information Technology Industry Council,Industry Association,8.424999999999999,9.0,8.5,8.0,8.0,"Concrete, risk-based export control proposal, highly relevant to IAPS compute governance and national security. Specific focus on model weights and compute power, with awareness of international competitiveness.",1204
13,5,Create a NIST Foundation to Support AI Mandate,Federation of American Scientists,Think Tank,8.424999999999999,9.0,8.5,8.0,8.0,"Creates a NIST Foundation to support AI mandate, modeled on DOE FESI. Directly supports IAPS-aligned AI governance and safety infrastructure. Bipartisan support and legislative precedent.",3615
14,4,Track technology transfers to China,Center for Security and Emerging Technology,Think Tank,8.325,9.0,8.5,8.0,7.5,"Directly targets tech transfer to China, a core IAPS concern. Proposes a new office/task force with practical recommendations—actionable and fills a real gap.",1989
15,3,AI Model Security Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.325,9.0,8.5,8.0,7.5,"Strong alignment with IAPS's AI security and governance priorities. Proposes specific standards, national lab, and review processes. Implementation path is clear (NIST, certification). Evidence-based, addresses real vulnerabilities.",2850
16,4,Modified Export Control Strategy for Democratic AI,OpenAI,Frontier Developer,8.325,9.0,8.5,8.0,7.5,"Proposes a nuanced export control strategy that advances U.S. AI leadership and aligns with IAPS's international governance focus. Specific, actionable, and considers global political realities.",4205
17,5,Assess Foreign AI Models for Security Risks,Information Technology Industry Council,Industry Association,8.325,9.0,8.5,8.0,7.5,"Concrete, actionable recommendation for CISA and the AI Safety Institute to assess foreign AI models for security risks. Directly supports IAPS's dual-use risk and national security priorities.",4533
18,1,Bio Capability Evaluations Program for AI-Driven Biological Threats,Federation of American Scientists,Think Tank,8.299999999999999,9.0,8.5,7.5,8.0,"Highly specific, actionable recommendation to establish a bio capability evaluations program for AI-driven biological threats. Directly addresses dual-use AI risks and national security, a core IAPS concern. Cites existing agency work and proposes interagency coordination with funding. Politically viable and fills a real policy gap.",2
19,5,Establish industry-specific AI incident reporting,Center for Security and Emerging Technology,Think Tank,8.275,8.5,8.5,8.0,8.0,"Concrete, sector-specific incident reporting for AI, with clear agency roles and investigative authority. Strong alignment with IAPS focus on governance mechanisms and risk management.",1502
20,2,Adversarial AI Research Program,Alvarez & Marshall Federal LLC,Industry (Other),8.2,9.0,8.0,8.0,7.5,"Concrete proposal for adversarial AI research, national red teaming, and standardized testing. Directly advances IAPS priorities on AI security and governance. Specifies agencies, funding, and implementation. Supported by real-world need and feasible within current structures.",439
21,6,Clarify policy scope for biological AI models,Center for Security and Emerging Technology,Think Tank,8.2,9.0,8.0,8.0,7.5,"Requires policy clarity for chem-bio AI models, addressing a real regulatory gap. Highly specific and actionable, with direct implications for export controls and national security.",3156
22,7,Ensure Mandatory Shutdown Mechanisms in AI Systems,Wahba Institute for Strategic Competition,Think Tank,8.2,9.0,8.0,8.0,7.5,"Mandatory shutdown mechanisms for high-risk AI systems (autonomous weapons, infrastructure). Directly advances IAPS safety and national security priorities. Technically feasible, clear implementation path.",3515
23,8,Deploy AI for critical infrastructure security and threat detection,Bipartisan Policy Center,Think Tank,8.2,9.0,8.0,8.0,7.5,"Deploys AI for critical infrastructure security, instructing DOE/DHS to build anomaly detection tools. Specific, actionable, and directly supports IAPS national security and resilience goals.",3529
24,4,AI Supply Chain Security,Alvarez & Marshall Federal LLC,Industry (Other),8.075,9.0,8.0,7.5,7.5,"Directly addresses AI supply chain security, a key IAPS concern. Proposes concrete frameworks (lifecycle, provenance tracking, trusted vendor program). CISA/NIST involvement is realistic. Evidence-based, addresses real-world threats.",2282
25,5,Federal AI Compute Framework,Alvarez & Marshall Federal LLC,Industry (Other),8.075,9.0,8.0,7.5,7.5,"Concrete, actionable proposal for federated AI compute infrastructure, directly advancing IAPS compute governance priorities. Clear implementation via NSF/DOE/DoD. Evidence-based, addresses national priorities.",2421
26,3,Implement AI testing requirements for government procurement,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.5,7.5,7.5,"Specific, actionable recommendation for AI testing in government procurement. Aligns with IAPS focus on standards, risk evaluation, and governance. Feasible, leverages procurement authority, and addresses a real oversight gap.",369
27,6,Deploy appropriate model safeguards for biosecurity,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.0,8.0,7.5,"Proposes a suite of model safeguards for biosecurity, referencing CSET research and specific mechanisms. Actionable and directly addresses dual-use AI risk.",1636
28,6,Partner with companies to share threat intelligence,Center for Security and Emerging Technology,Think Tank,8.05,8.5,8.0,8.0,7.5,"Specific, actionable proposal for government-company threat intelligence sharing, including clear agency roles. Strong evidence base and high relevance to IAPS's focus on AI security and information sharing.",4280
29,9,Standardize federal AI procurement processes and guidelines,Bipartisan Policy Center,Think Tank,8.025,8.5,8.0,7.5,8.0,"Standardizes federal AI procurement with clear guidelines, benchmarks, and accountability. Directly addresses a known implementation barrier and aligns with IAPS governance focus.",3676
30,7,Cooperate with allies on export control strategy,Center for Security and Emerging Technology,Think Tank,7.95,8.5,8.0,8.0,7.0,"Directly advances IAPS's international coordination and export control priorities. Specific recommendations (joint strategy, communication, avoid FDPR overuse). Evidence-based, realistic about multilateral constraints.",2754
31,7,Identify Critical AI Technologies for Export Control,"Advanced Robotics for Manufacturing
  Institute",Think Tank,7.925,8.5,8.0,7.5,7.5,"Directly addresses export controls and national security, with a concrete call to identify critical AI technologies. Implementation path is clear and highly relevant.",2005
32,10,Institute clear documentation and transparency requirements for government AI,Bipartisan Policy Center,Think Tank,7.925,8.5,8.0,7.5,7.5,"Requires clear documentation and transparency for government AI, especially in high-impact applications. Actionable, measurable, and directly advances IAPS transparency and governance priorities.",3768
33,7,Fund research on AI evaluation science,Center for Security and Emerging Technology,Think Tank,7.825,8.5,8.0,7.5,7.0,"Concrete recommendation for federal research funding into AI evaluation science, especially for agentic systems. Directly advances IAPS's research priorities with clear implementation path.",4141
34,8,National AI Cyber Shield,Alvarez & Marshall Federal LLC,Industry (Other),7.825,8.5,8.0,7.5,7.0,"Specific, actionable plan for a National AI Cyber Shield, including agency leadership, operational details, and incentives. Strong alignment with IAPS's national security and AI governance focus.",3992
35,4,Lead International AI Safety Institute Network,Information Technology Industry Council,Industry Association,7.824999999999999,9.0,7.5,7.0,7.5,Directly targets IAPS priority of international AI safety institute coordination. Specific recommendation to retain US leadership in the global AI safety network. Actionable and timely given current international efforts.,538
36,8,Establish whistleblower protections for AI company employees,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Whistleblower protections for AI company employees is actionable, addresses real gaps in governance, and supports accountability in high-risk AI development.",1602
37,9,Empower OSD to set AI security standards for military,Center for Security and Emerging Technology,Think Tank,7.775,8.0,8.0,7.5,7.5,"Empowering OSD to set AI security standards is a concrete, actionable step to reduce duplication and improve security. Directly relevant to IAPS's focus on national security AI governance.",1269
38,11,Training Data Security,Alvarez & Marshall Federal LLC,Industry (Other),7.775,8.0,8.0,7.5,7.5,"Training data security standards (NIST-led) with specific controls for poisoning, diversity, and sharing. Concrete, actionable, and addresses a real risk area for AI safety.",3374
39,5,Support AI and Computing at DOE,Federation of American Scientists,Think Tank,7.7,8.5,7.5,7.5,7.0,"Proposes a dedicated AI and Computing Lab at DOE, advancing IAPS's focus on compute governance and national security. Clear implementation path, leverages existing DOE strengths, and addresses strategic needs.",1027
40,6,AI Compute Access Program,Alvarez & Marshall Federal LLC,Industry (Other),7.7,8.5,8.0,7.0,7.0,"Democratizing compute access is a core IAPS concern. Proposes specific mechanisms (credit system, merit-based applications, public-private partnerships). Implementation path is clear (NSF). Evidence-based, addresses real gaps.",2238
41,8,Calibrate AI Export Controls,Wahba Institute for Strategic Competition,Think Tank,7.7,8.5,7.5,7.5,7.0,"Addresses IAPS's focus on calibrated export controls and international strategy. Proposes balancing security and competitiveness, with concrete mechanisms. Evidence-based, politically realistic.",2763
42,12,Real-World AI Testing Framework,Alvarez & Marshall Federal LLC,Industry (Other),7.675000000000001,8.0,8.0,7.5,7.0,"Establishes real-world AI testing frameworks with NIST leadership, clear criteria, and staged deployment. Highly actionable and aligned with IAPS focus on robust evaluation.",3631
43,9,Safe Harbor for AI Researchers,Federation of American Scientists,Think Tank,7.675000000000001,8.0,8.0,7.5,7.0,Addresses a real gap in legal protection for independent AI safety research. Specific recommendations for OMB guidance and procurement requirements. Strong evidence base and actionable within current frameworks.,4630
44,10,Implement Strategic Export Control Measures for AI,"CGI Federal, Inc.",Industry (Other),7.65,8.0,8.0,7.0,7.5,"Robust export licensing system for AI tech is highly aligned with IAPS's export control priorities. Proposes monitoring and enforcement mechanisms, though details could be stronger.",1905
45,11,Build an integrated biosecurity ecosystem,Center for Security and Emerging Technology,Think Tank,7.65,8.0,7.5,7.5,7.5,Integrating AI into biosecurity ecosystem is evidence-based and recognizes real-world limitations of AI-only controls. Actionable and fills a governance gap.,1526
46,6,Expand the National AI Research Resource,Federation of American Scientists,Think Tank,7.575,8.5,7.5,7.0,7.0,"Expanding NAIRR is highly aligned with IAPS's compute access and research resource priorities. Concrete, actionable, and addresses a documented gap. Politically feasible with bipartisan support.",378
47,10,Strengthen the Role of the US AI Safety Institute,Wahba Institute for Strategic Competition,Think Tank,7.575,8.5,7.5,7.0,7.0,"Strengthening AISI is directly in line with IAPS's AI safety institute priorities. Proposes independent risk assessments, public-private coordination. Implementation is feasible via NIST.",2385
48,12,Expand open-source intelligence gathering on AI,Center for Security and Emerging Technology,Think Tank,7.550000000000001,8.0,7.5,7.5,7.0,"Expanding OSINT on AI is a concrete, underdeveloped area in government. Actionable, fills a real intelligence gap, and supports IAPS's evidence-based approach.",1639
49,13,Fortify AI Trust and Security for National Security,HPE,Industry (Other),7.550000000000001,8.0,7.5,7.5,7.0,"Recommends rigorous threat testing and red-teaming for dual-use AI, leveraging USG expertise. Directly supports IAPS national security and AI safety priorities.",3453
50,10,Empower NIST to develop voluntary AI standards and certification programs,Bipartisan Policy Center,Think Tank,7.550000000000001,8.0,8.0,7.0,7.0,"Empowering NIST to develop voluntary AI standards and certification is specific, actionable, and aligns with IAPS's focus on standards and governance. Realistic within current agency authorities.",4252
51,7,National AI Compute Infrastructure Initiative,Alvarez & Marshall Federal LLC,Industry (Other),7.45,8.5,7.0,7.0,7.0,"Comprehensive proposal for domestic AI compute infrastructure, including funding, tax incentives, and strategic zones. Directly advances IAPS compute governance priorities. Specific mechanisms, though implementation complexity is high.",716
52,13,National AI Security Framework,Alvarez & Marshall Federal LLC,Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"Comprehensive AI security framework for critical infrastructure is highly aligned with IAPS priorities. Concrete phased implementation, though some elements may face political resistance.",1755
53,14,Define Global AI Safety Standards,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Defines US-led global AI safety standards, leveraging existing initiatives (AISIC, INASI). Actionable, aligns with IAPS's international governance focus.",1465
54,9,Develop a Balanced Approach to Export Controls,"CGI Federal, Inc.",Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"Export controls are a core IAPS concern. Proposes balanced, actionable approach with international collaboration. Somewhat general but implementation path is plausible.",2627
55,11,Establish Government Authority to Temporarily Suspend Unsafe AI Systems,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Concrete, actionable mechanism for government intervention in unsafe AI systems. Directly addresses IAPS's national security and governance priorities. Implementation is plausible (modeled on NHTSA recalls).",2219
56,14,Establish a National AI Cybersecurity Task Force,"CGI Federal, Inc.",Industry (Other),7.425000000000001,8.0,7.5,7.0,7.0,"National AI cybersecurity task force with cross-sector collaboration. Actionable, addresses real threats, and aligns with IAPS security focus.",3612
57,15,Maintain NIST AI Safety Institute Functions,Information Technology Industry Council,Industry Association,7.425000000000001,8.0,7.5,7.0,7.0,"Maintains NIST AI Safety Institute functions, focusing on dual-use and national security risks. Actionable, evidence-based, and directly aligned with IAPS priorities.",3323
58,16,Establish public-private test beds for AI-driven electric grid solutions,Bipartisan Policy Center,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Establishes public-private test beds for AI-driven grid solutions (DOE/industry), de-risking deployment. Specific, actionable, and addresses critical infrastructure resilience.",3637
59,17,Secure Data for AI Research,Wahba Institute for Strategic Competition,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,"Secures data for AI research, restricts strategic datasets from adversaries. Actionable, evidence-based, and directly targets IAPS compute/data governance priorities.",3159
60,11,Share AI intelligence with allies,Center for Security and Emerging Technology,Think Tank,7.425000000000001,8.0,7.5,7.0,7.0,Concrete recommendation for allied intelligence sharing on AI capabilities. Directly supports IAPS's international governance and information sharing priorities.,4467
61,8,Encourage risk-based governance practices in the private sector,Amazon,Frontier Developer,7.300000000000001,8.0,7.0,7.0,7.0,"Encourages risk-based governance and public-private collaboration for advanced AI model evaluation. Aligns with IAPS's focus on dual-use risk and governance. Specific, actionable, and feasible.",400
62,12,Develop standardized metrics for data centers,Bipartisan Policy Center,Think Tank,7.275,7.5,7.5,7.0,7.0,"Standardized metrics for data center efficiency are actionable, measurable, and support IAPS's compute governance focus. Leverages NIST and DOE, with clear implementation path.",54
63,12,Create standard pathways to contest AI results,Center for Security and Emerging Technology,Think Tank,7.275,7.5,7.5,7.0,7.0,"Specific, actionable proposal for contesting AI decisions, which supports AI governance and accountability. Implementation path is plausible, evidence-based (citizen reporting as error detection).",2017
64,13,Synchronize baseline AI standards across federal agencies,Center for Security and Emerging Technology,Think Tank,7.275,7.5,7.5,7.0,7.0,Synchronizing AI standards across agencies is highly actionable and addresses real regulatory fragmentation. Directly advances IAPS's governance and standards priorities.,2493
65,18,Cut red tape and make the immigration process more efficient,Center for Security and Emerging Technology,Think Tank,7.275,7.5,7.5,7.0,7.0,"Streamlines immigration for AI talent via Schedule A and special handling. Specific, actionable, and addresses real bottlenecks for U.S. AI competitiveness.",3318
66,12,Improve AI Security Techniques,Information Technology Industry Council,Industry Association,7.275,7.5,7.5,7.0,7.0,"Specific recommendations for secure-by-design AI, cryptography, and threat detection. While somewhat industry-driven, aligns with IAPS's AI security priorities and is actionable.",3847
67,13,Streamline AI Procurement for Government Use,Federation of American Scientists,Think Tank,7.275,7.5,7.5,7.0,7.0,"Concrete, actionable recommendation for a GSA-led digital platform to streamline AI procurement. Addresses real government implementation gap and supports IAPS's governance focus.",4707
68,9,Enhance AI Model Security & Oversight,Wahba Institute for Strategic Competition,Think Tank,7.2,8.0,7.0,7.0,6.5,"Addresses open/closed model security, proposes concrete safeguards and restrictions for national security. Highly relevant to IAPS's dual-use and governance focus. Somewhat less clear on implementation, but strong alignment.",889
69,14,Sovereign AI Model Development,Alvarez & Marshall Federal LLC,Industry (Other),7.2,8.0,7.0,7.0,6.5,"Sovereign AI model development is highly aligned with IAPS's national security and governance priorities. Proposes specific mechanisms (consortium, secure testing). Implementation is plausible but requires coordination.",2578
70,10,Maintain AI Infrastructure Sovereignty,Wahba Institute for Strategic Competition,Think Tank,7.175000000000001,8.0,7.0,6.5,7.0,"Focuses on domestic AI infrastructure sovereignty and public-private partnerships, a core IAPS concern. Specific mechanisms for compute and data access. Politically viable and addresses a real gap.",863
71,11,Prioritize Incentives for AI Chips Manufacturing and Design,Information Technology Industry Council,Industry Association,7.175000000000001,8.0,7.0,6.5,7.0,"Prioritizes domestic AI chip manufacturing and design, directly supporting IAPS's compute governance and national security priorities. Specific incentives and policy mechanisms.",438
